DATE,TIME,DATETIME,TANK_NUM,TREATMENT,TEMPINSITU,TEMPINLAB,SALINITY,FLOW_LEFT,FLOW_RIGHT,residence_time,flowrate,TA,pH,DIC_umol_kg,DOC,pH_inflow,TA_inflow,DIC_inflow,DOC_inflow,deltapH,deltaTA,deltaDIC,deltaDOC,NEC,NEP,Notes
2024-06-09,21:00:00,2024-06-09T21:00:00Z,1,Algae_Dom,28.8,26.577,36.4,NA,NA,NA,NA,NA,7.977973416028165,NA,NA,7.9951304506635426,NA,NA,NA,-0.017157034635377322,NA,NA,NA,NA,NA,NA
2024-06-10,12:00:00,2024-06-10T12:00:00Z,1,Algae_Dom,28.6,27.678,36.4,NA,NA,NA,NA,NA,8.093048221321517,NA,NA,8.005325806335957,NA,NA,NA,0.08772241498556,NA,NA,NA,NA,NA,NA
2024-06-10,21:00:00,2024-06-10T21:00:00Z,1,Algae_Dom,28.7,25.642,36.4,NA,NA,NA,NA,NA,7.732497883667746,NA,NA,8.003845969614433,NA,NA,NA,-0.2713480859466877,NA,NA,NA,NA,NA,NA
2024-06-11,12:00:00,2024-06-11T12:00:00Z,1,Algae_Dom,27.7,27.565,36.4,196,150,0.48169556840077066,5.766666666666667,2366.802,8.106554592071523,1985.526864944687,298.5893134,8.010184285239403,2360.581,2039.9802667738347,83.2812964,0.09637030683212089,-6.221000000000004,54.45340182914765,215.30801699999998,-0.13074237925925933,2.419560033624559,NA
2024-06-11,21:00:00,2024-06-11T21:00:00Z,1,Algae_Dom,27.2,25.962,36.4,162,136,0.5592841163310962,4.966666666666667,NA,8.000446544285035,NA,109.1748746,8.044539918296229,NA,NA,109.2581337,-0.04409337401119373,NA,NA,-0.08325910000000647,NA,NA,NA
2024-06-12,21:00:00,2024-06-12T21:00:00Z,1,Algae_Dom,27.4,25.715,36.4,NA,NA,NA,NA,NA,8.001698823654865,NA,NA,8.041816171591535,NA,NA,NA,-0.0401173479366701,NA,NA,NA,NA,NA,NA
2024-06-13,12:00:00,2024-06-13T12:00:00Z,1,Algae_Dom,27.2,25.92,36.3,NA,NA,NA,NA,NA,7.874072703051447,NA,NA,8.0546644215497345,NA,NA,NA,-0.18059171849828726,NA,NA,NA,NA,NA,"Overcast, storming"
2024-06-13,21:00:00,2024-06-13T21:00:00Z,1,Algae_Dom,27.3,26.253,36.3,NA,NA,NA,NA,NA,8.031517410656917,NA,NA,8.054178802618383,NA,NA,NA,-0.022661391961465327,NA,NA,NA,NA,NA,NA
2024-06-14,12:00:00,2024-06-14T12:00:00Z,1,Algae_Dom,28.3,28.514,36.1,NA,NA,NA,NA,NA,8.1244216174673,NA,NA,8.044081034385364,NA,NA,NA,0.08034058308193615,NA,NA,NA,NA,NA,NA
2024-06-14,21:00:00,2024-06-14T21:00:00Z,1,Algae_Dom,27.3,26.273,36.3,NA,NA,NA,NA,NA,7.9509313340204075,NA,NA,8.074678608097239,NA,NA,NA,-0.12374727407683128,NA,NA,NA,NA,NA,NA
2024-06-15,12:00:00,2024-06-15T12:00:00Z,1,Algae_Dom,28.3,28.232,36,NA,NA,NA,NA,NA,8.141849801270094,NA,NA,8.045686045211598,NA,NA,NA,0.09616375605849647,NA,NA,NA,NA,NA,NA
2024-06-15,21:00:00,2024-06-15T21:00:00Z,1,Algae_Dom,27.6,26.429,36.1,NA,NA,NA,NA,NA,8.010244200750233,NA,NA,8.075885913649149,NA,NA,NA,-0.06564171289891618,NA,NA,NA,NA,NA,NA
2024-06-16,12:00:00,2024-06-16T12:00:00Z,1,Algae_Dom,28.1,28.104,36,122,234,0.4681647940074906,5.933333333333334,2357.963,8.06261250300388,2006.4456265487433,NA,8.045596537518659,2359.208,2006.5203464214983,89.6374344,0.01701596548522133,1.2449999999998909,0.0747198727549403,NA,0.026921511111108753,-0.02369007033264621,NA
2024-06-16,21:00:00,2024-06-16T21:00:00Z,1,Algae_Dom,27.7,24.01,36.1,218,100,0.5241090146750524,5.3,2359.093,8.009866866463815,2043.9403930480205,119.1944128,8.073453771153769,2354.242,1993.6190260425928,76.83218575,-0.06358690468995398,-4.850999999999658,-50.321367005427646,42.36222705,-0.09369975999999339,-1.8502705600496825,NA
