CORAL_NUM,GENOTYPE,TREATMENT,TANK_NUM,endo_per_cm2,chla_ug_cm2,mean_tissue_biomass,GP,R,pH_mean,DOC_mean
1,T,Coral_Dom,7,NA,0.966409220552346,NA,1.878661130893464,0.7813351310947251,8.040484016124932,120.077097918
2,M,Algae_Dom,13,NA,2.9593391835382663,NA,2.8227652773630454,0.9158293506496428,8.05405603436128,114.140655155
6,J,Algae_Dom,1,0.26861837072917866,1.6561909428698578,6.52507023267338,2.8960114018764544,0.8359549845507079,8.039743713602704,162.42704423
8,J,Coral_Dom,6,0.16809013129626896,1.3073809374918612,9.26149276202012,2.0447342444637653,0.5238547612253205,8.044577585126033,115.650420031
10,G,Coral_Dom,9,0.6419405977860237,3.402736479094264,18.96813626348229,4.113936260845545,1.2271126432996622,8.052154246251016,124.865744715
11,M,Control,3,0.7400478135083739,2.6531761712440636,14.22286560369472,NA,0.6559079810162786,8.032022537102531,141.46240436600002
13,U,Rubble_Dom,5,0.7423689095274956,2.6292232212432136,NA,3.647590325986082,1.2365280188247727,8.031325593128724,109.344693877
14,B,Control,3,0.295244959777778,0.783839228152319,6.23791496031664,NA,0.5174635390194469,8.032022537102531,141.46240436600002
15,V,Control,8,0.4350829678371022,2.446872815243981,4.826021228321798,2.154532065612647,1.0707067172768638,8.043899387464494,160.66979863
16,B,Algae_Dom,4,0.24838053913465136,1.3158337360905643,5.100287653348851,2.573266989131086,0.9016583513506272,8.060288888668053,180.91056307
18,V,Rubble_Dom,2,0.42693319013448566,2.3427767530318913,19.614721345377156,2.7725621251394053,1.0188167783406563,8.039721699120623,154.67587669875002
19,L,Rubble_Dom,10,0.3282352246726337,1.5315003494301955,4.748489232518398,4.250133118678786,1.23265946,8.056944066354125,118.073467815
21,N,Control,11,0.8826733423473712,4.0737572574350915,13.008187299068885,3.1954009109022934,1.4106826411603846,8.044242640025107,141.673604927
25,M,Rubble_Dom,5,0.41357412658628456,1.727289035537792,15.877491089107904,4.103948629066411,1.2471918606237469,8.031325593128724,109.344693877
27,I,Coral_Dom,9,0.43836789474510657,2.2476368573206105,10.346534706371791,3.2891390444199624,1.1806950536913157,8.052154246251016,124.865744715
28,P,Control,3,0.1682118258669598,1.3097203953610503,2.413782124736522,1.3582757214568808,1.1650337377933446,8.032022537102531,141.46240436600002
33,F,Control,15,0.4464649726217026,2.1463249848965913,3.127974786427072,6.597576931861302,1.915090069482236,8.04040327024681,148.14463757444446
36,W,Rubble_Dom,12,0.5083036131912647,3.3517720372422777,7.341790385314568,2.945230983727906,1.6417078540203192,8.05987093476518,129.195564507
37,C,Control,8,0.4953709075069171,2.8205744887334654,11.366085643868766,2.9457974679711145,1.5248276387535833,8.043899387464494,160.66979863
38,I,Algae_Dom,13,0.5338868981458659,3.4517521295309868,6.913001353573273,3.530216700029511,1.1813376401661122,8.05405603436128,114.140655155
40,A,Coral_Dom,16,0.4971516232992774,2.254493003340608,6.924279397543775,2.9151505307930896,1.122894057,8.032965104067214,116.58651436638888
41,B,Coral_Dom,16,0.2791232749510181,0.6084385129194113,4.619136597568775,2.192125830961178,1.0541550761506746,8.032965104067214,116.58651436638888
43,N,Coral_Dom,6,0.4736702256287747,2.035834007513066,3.3810457654364225,NA,0.9002415156522171,8.044577585126033,115.650420031
46,C,Algae_Dom,1,0.0458756698060527,NA,4.624930954821564,0.720315866,0.8680700094125925,8.039743713602704,162.42704423
48,C,Coral_Dom,16,1.2449032838958043,NA,15.161450539177515,NA,NA,8.032965104067214,116.58651436638888
50,I,Rubble_Dom,12,0.47525488079853,2.303236277619136,13.809276478301062,3.373669963847201,1.2826261618321468,8.05987093476518,129.195564507
